"ds","Actual","Forecast","Lower_PI","Upper_PI","Error","AbsError","SqError","PctError","AbsPctError"
2024-01-01,131.4,131.634686389075,130.732118928148,132.550968880757,-0.23468638907471,0.23468638907471,0.0550777012169262,-0.178604557895518,0.178604557895518
2024-02-01,132.1,131.589688003101,130.624606127357,132.49320427946,0.510311996899247,0.510311996899247,0.260418334179297,0.386307340574752,0.386307340574752
2024-03-01,132.2,132.085388973862,131.164296824493,133.093042681425,0.114611026138334,0.114611026138334,0.0131356873124819,0.086695178622038,0.086695178622038
2024-04-01,132.4,131.586143423238,130.534691720332,132.573957020784,0.813856576761907,0.813856576761907,0.66236252753861,0.614695299669114,0.614695299669114
2024-05-01,132.8,131.989931963019,130.945208898435,132.996554603336,0.810068036981448,0.810068036981448,0.656210224538977,0.609990991702898,0.609990991702898
2024-06-01,133,132.504524816999,131.5261265875,133.474813213594,0.495475183000678,0.495475183000678,0.245495656969556,0.372537731579458,0.372537731579458
2024-07-01,133.1,132.785584311872,131.757374143973,133.781227905604,0.314415688128037,0.314415688128037,0.0988572249410268,0.236225160126248,0.236225160126248
2024-08-01,133.2,133.206151192075,132.325914535184,134.076527928075,-0.00615119207495241,0.00615119207495241,3.78371639429573e-05,-0.00461801206828259,0.00461801206828259
2024-09-01,133.2,133.456183486885,132.496669001101,134.433116432163,-0.256183486884964,0.256183486884964,0.0656299789525387,-0.192329945108832,0.192329945108832
2024-10-01,133.4,133.603787056108,132.640299386976,134.625930938212,-0.203787056107814,0.203787056107814,0.0415291642370892,-0.152763910125797,0.152763910125797
2024-11-01,133.3,133.820946976874,132.782291708027,134.816561714159,-0.520946976873489,0.520946976873489,0.271385752713628,-0.390807934638776,0.390807934638776
2024-12-01,133.4,133.816680924365,132.876795732649,134.822335117481,-0.41668092436521,0.41668092436521,0.173622992729846,-0.312354516015899,0.312354516015899
2025-01-01,133.6,134.457593396823,133.457417304994,135.449258375756,-0.857593396822949,0.857593396822949,0.735466434274324,-0.641911225166878,0.641911225166878
2025-02-01,134.1,134.582375453797,133.724985542572,135.526817274115,-0.48237545379709,0.48237545379709,0.232686078425948,-0.359713239222289,0.359713239222289
2025-03-01,134.1,134.182672594914,133.27089080263,135.09606899778,-0.0826725949138734,0.0826725949138734,0.0068347579497934,-0.0616499589216058,0.0616499589216058
2025-04-01,134.3,133.877876441316,132.934716451635,134.889444259378,0.422123558684262,0.422123558684262,0.178188298796266,0.314313893286867,0.314313893286867
2025-05-01,134.4,134.265434759488,133.207316219215,135.300346729429,0.134565240512188,0.134565240512188,0.0181078039541031,0.100122946809664,0.100122946809664
2025-06-01,134.5,134.505238042086,133.405414600957,135.587002570029,-0.00523804208560819,0.00523804208560819,2.74370848906025e-05,-0.00389445508223657,0.00389445508223657
2025-07-01,134.7,134.685878547462,133.685147710479,135.688659126511,0.0141214525382338,0.0141214525382338,0.000199415421789591,0.010483632173893,0.010483632173893
2025-08-01,134.9,134.878245068996,133.856752409764,135.785823605473,0.0217549310040397,0.0217549310040397,0.000473277022990527,0.0161267094173756,0.0161267094173756
2025-09-01,135.2,134.967442599157,134.119949036961,135.841229310731,0.232557400843149,0.232557400843149,0.054082944686921,0.172009911866234,0.172009911866234
2025-10-01,135.1,135.220657574695,134.224365283154,136.124553951316,-0.120657574695286,0.120657574695286,0.0145582503313486,-0.0893098258292276,0.0893098258292276
2025-11-01,135.1,135.408065191227,134.403153271344,136.369169023474,-0.30806519122703,0.30806519122703,0.0949041620457464,-0.228027528665455,0.228027528665455
2025-12-01,135.5,135.471271584014,134.514588850451,136.55475707097,0.0287284159857961,0.0287284159857961,0.000825321885052946,0.0212017830153477,0.0212017830153477
2026-01-01,135.7,135.832856709574,134.785959694765,136.88482242728,-0.132856709573957,0.132856709573957,0.0176509052788188,-0.0979047233411623,0.0979047233411623
2026-02-01,136,136.094864414062,135.130893023171,137.086422894256,-0.0948644140619024,0.0948644140619024,0.00899925705530806,-0.0697532456337518,0.0697532456337518
2026-03-01,136.4,135.938957738324,134.913169926338,136.901281142649,0.461042261676255,0.461042261676255,0.212559967051556,0.338007523223061,0.338007523223061
2026-04-01,136.9,136.096902570228,135.126858032992,137.009063780424,0.803097429772464,0.803097429772464,0.644965481707138,0.586630701075576,0.586630701075576
2026-05-01,137.1,136.350872935979,135.402907083019,137.335249273139,0.749127064021337,0.749127064021337,0.561191358049229,0.546409237068809,0.546409237068809
2026-06-01,137.1,136.647333443678,135.709519437798,137.688405635758,0.452666556321503,0.452666556321503,0.204907011211969,0.330172542904087,0.330172542904087
2026-07-01,137.1,137.063908173927,136.041778507248,138.014296644161,0.0360918260730898,0.0360918260730898,0.00130261990929017,0.0263251831313565,0.0263251831313565
